 שם ישוב,סמל ישוב,בזב,מצביעים,פסולים,כשרים,אמת,ג,ודעם,ז,זך,זץ,טב,י,יז,יך,יץ,כ,ל,מחל,מרצ,נז,ני,נץ,ע,פה,ף,ףץ,קנ,קץ,רק,שס
עין השלושה, 0000676, 0000336, 0000224, 0000001, 0000223, 0000143, 0000000, 0000000, 0000000, 0000000, 0000000, 0000003, 0000000, 0000000, 0000000, 0000000, 0000012, 0000003, 0000027, 0000013, 0000001, 0000000, 0000000, 0000001, 0000017, 0000000, 0000002, 0000001, 0000000, 0000000, 0000000
עין ורד, 0000157, 0001008, 0000845, 0000001, 0000844, 0000503, 0000002, 0000002, 0000000, 0000000, 0000000, 0000023, 0000000, 0000000, 0000000, 0000000, 0000021, 0000008, 0000060, 0000072, 0000000, 0000000, 0000000, 0000000, 0000148, 0000000, 0000000, 0000002, 0000002, 0000001, 0000000
עין זיוון, 0004503, 0000238, 0000155, 0000001, 0000154, 0000068, 0000000, 0000000, 0000000, 0000000, 0000000, 0000009, 0000000, 0000000, 0000000, 0000000, 0000005, 0000006, 0000013, 0000008, 0000000, 0000000, 0000000, 0000000, 0000036, 0000000, 0000000, 0000008, 0000000, 0000001, 0000000
עין חוד, 0001320, 0000159, 0000109, 0000001, 0000108, 0000000, 0000000, 0000087, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000003, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000016
עין חרוד (איחוד), 0000089, 0000530, 0000411, 0000001, 0000410, 0000283, 0000001, 0000000, 0000000, 0000000, 0000001, 0000006, 0000000, 0000000, 0000000, 0000000, 0000012, 0000004, 0000029, 0000030, 0000020, 0000000, 0000000, 0000000, 0000018, 0000000, 0000000, 0000003, 0000003, 0000000, 0000000
עין חרוד (מאוחד), 0000082, 0000679, 0000485, 0000002, 0000483, 0000306, 0000002, 0000000, 0000000, 0000000, 0000000, 0000020, 0000000, 0000000, 0000000, 0000000, 0000023, 0000008, 0000029, 0000036, 0000000, 0000001, 0000000, 0000000, 0000045, 0000000, 0000000, 0000011, 0000001, 0000001, 0000000
עין יהב, 0000806, 0000483, 0000384, 0000003, 0000381, 0000282, 0000000, 0000002, 0000000, 0000000, 0000000, 0000006, 0000000, 0000000, 0000000, 0000000, 0000018, 0000002, 0000013, 0000024, 0000000, 0000000, 0000000, 0000000, 0000029, 0000000, 0000000, 0000002, 0000002, 0000000, 0000001
עין יעקב, 0000813, 0000613, 0000470, 0000001, 0000469, 0000099, 0000001, 0000001, 0000000, 0000000, 0000000, 0000043, 0000000, 0000000, 0000000, 0000000, 0000047, 0000009, 0000170, 0000011, 0000000, 0000000, 0000000, 0000001, 0000024, 0000000, 0000000, 0000021, 0000007, 0000001, 0000034
עין כרמל, 0000426, 0000470, 0000376, 0000001, 0000375, 0000236, 0000001, 0000000, 0000000, 0000000, 0000000, 0000004, 0000000, 0000000, 0000000, 0000000, 0000019, 0000013, 0000016, 0000034, 0000000, 0000000, 0000000, 0000000, 0000043, 0000000, 0000002, 0000007, 0000000, 0000000, 0000000
עין מאהל, 0000532, 0007717, 0005708, 0000029, 0005679, 0000035, 0000000, 0005394, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000003, 0000000, 0000035, 0000127, 0000001, 0000000, 0000001, 0000015, 0000001, 0000001, 0000003, 0000002, 0000000, 0000001, 0000059
עין נקובא, 0000521, 0001370, 0000784, 0000025, 0000759, 0000076, 0000000, 0000601, 0000000, 0000000, 0000005, 0000007, 0000000, 0000002, 0000000, 0000000, 0000005, 0000003, 0000009, 0000009, 0000000, 0000001, 0000002, 0000010, 0000003, 0000000, 0000002, 0000002, 0000002, 0000001, 0000019
עין עירון, 0000223, 0000389, 0000325, 0000000, 0000325, 0000183, 0000001, 0000000, 0000000, 0000000, 0000001, 0000007, 0000000, 0000000, 0000000, 0000000, 0000026, 0000000, 0000013, 0000048, 0000001, 0000000, 0000000, 0000000, 0000035, 0000000, 0000000, 0000009, 0000000, 0000000, 0000001
עין צורים, 0000622, 0000523, 0000427, 0000001, 0000426, 0000029, 0000000, 0000000, 0000000, 0000000, 0000000, 0000250, 0000000, 0000000, 0000000, 0000000, 0000016, 0000000, 0000053, 0000006, 0000002, 0000000, 0000000, 0000000, 0000026, 0000000, 0000000, 0000000, 0000039, 0000000, 0000005
עין ראפה, 0000514, 0000562, 0000367, 0000006, 0000361, 0000044, 0000000, 0000299, 0000000, 0000000, 0000000, 0000002, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000002, 0000009, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000003, 0000001, 0000000, 0000000
עין שמר, 0000139, 0000588, 0000438, 0000000, 0000438, 0000212, 0000000, 0000002, 0000000, 0000000, 0000000, 0000010, 0000000, 0000000, 0000000, 0000000, 0000013, 0000004, 0000014, 0000139, 0000000, 0000000, 0000000, 0000000, 0000030, 0000000, 0000000, 0000013, 0000001, 0000000, 0000000
עין שריד, 0000880, 0001027, 0000785, 0000007, 0000778, 0000227, 0000022, 0000000, 0000000, 0000000, 0000001, 0000032, 0000000, 0000000, 0000000, 0000000, 0000088, 0000006, 0000198, 0000060, 0000000, 0000001, 0000000, 0000000, 0000114, 0000000, 0000000, 0000007, 0000002, 0000001, 0000019
עין תמר, 0001251, 0000140, 0000105, 0000000, 0000105, 0000038, 0000000, 0000000, 0000000, 0000000, 0000000, 0000009, 0000000, 0000000, 0000000, 0000000, 0000005, 0000005, 0000020, 0000001, 0000000, 0000000, 0000000, 0000000, 0000026, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000
עינת, 0000871, 0000524, 0000445, 0000001, 0000444, 0000274, 0000000, 0000000, 0000000, 0000000, 0000000, 0000005, 0000000, 0000000, 0000000, 0000000, 0000015, 0000005, 0000019, 0000067, 0000000, 0000000, 0000000, 0000000, 0000049, 0000000, 0000000, 0000008, 0000002, 0000000, 0000000
עכו, 0007600, 0040470, 0026114, 0000385, 0025729, 0001916, 0000139, 0006655, 0000002, 0000000, 0000029, 0001109, 0000004, 0000001, 0000000, 0000004, 0001631, 0002616, 0007818, 0000206, 0000009, 0000003, 0000007, 0000072, 0000938, 0000022, 0000014, 0000181, 0000388, 0000019, 0001946
עלומים, 0001146, 0000345, 0000262, 0000000, 0000262, 0000017, 0000002, 0000000, 0000000, 0000000, 0000000, 0000155, 0000000, 0000000, 0000000, 0000000, 0000013, 0000000, 0000057, 0000001, 0000000, 0000000, 0000000, 0000000, 0000013, 0000000, 0000000, 0000000, 0000002, 0000002, 0000000
עלי זהב, 0003727, 0000657, 0000532, 0000002, 0000530, 0000008, 0000000, 0000000, 0000000, 0000000, 0000000, 0000321, 0000000, 0000000, 0000000, 0000000, 0000014, 0000012, 0000140, 0000000, 0000000, 0000000, 0000000, 0000000, 0000010, 0000000, 0000000, 0000001, 0000018, 0000000, 0000006
עלי, 0003765, 0001900, 0001529, 0000004, 0001525, 0000005, 0000009, 0000000, 0000000, 0000000, 0000000, 0000760, 0000000, 0000000, 0000000, 0000000, 0000015, 0000016, 0000323, 0000001, 0000002, 0000000, 0000001, 0000000, 0000000, 0000000, 0000000, 0000006, 0000365, 0000001, 0000021
עלמה, 0000688, 0000550, 0000416, 0000004, 0000412, 0000003, 0000009, 0000002, 0000000, 0000000, 0000000, 0000034, 0000000, 0000000, 0000000, 0000000, 0000039, 0000002, 0000272, 0000000, 0000000, 0000000, 0000000, 0000001, 0000004, 0000000, 0000000, 0000001, 0000014, 0000001, 0000030
עלמון, 0003715, 0000825, 0000640, 0000000, 0000640, 0000036, 0000001, 0000001, 0000000, 0000000, 0000000, 0000101, 0000000, 0000000, 0000000, 0000000, 0000052, 0000026, 0000327, 0000003, 0000000, 0000001, 0000000, 0000000, 0000075, 0000000, 0000000, 0000006, 0000005, 0000000, 0000006
עמוקה, 0001212, 0000153, 0000105, 0000001, 0000104, 0000053, 0000000, 0000000, 0000000, 0000000, 0000000, 0000002, 0000000, 0000000, 0000000, 0000000, 0000010, 0000000, 0000011, 0000022, 0000000, 0000000, 0000000, 0000000, 0000006, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000
עמינדב, 0000779, 0000614, 0000477, 0000001, 0000476, 0000129, 0000001, 0000001, 0000000, 0000000, 0000000, 0000031, 0000000, 0000000, 0000000, 0000000, 0000053, 0000001, 0000151, 0000049, 0000000, 0000000, 0000000, 0000000, 0000040, 0000000, 0000001, 0000005, 0000007, 0000000, 0000007
עמיעד, 0000385, 0000418, 0000269, 0000000, 0000269, 0000185, 0000000, 0000000, 0000000, 0000001, 0000000, 0000003, 0000000, 0000000, 0000000, 0000000, 0000006, 0000001, 0000010, 0000037, 0000000, 0000000, 0000000, 0000000, 0000017, 0000000, 0000000, 0000008, 0000000, 0000001, 0000000
עמיעוז, 0000318, 0000202, 0000143, 0000000, 0000143, 0000021, 0000002, 0000000, 0000000, 0000000, 0000000, 0000010, 0000000, 0000000, 0000000, 0000000, 0000007, 0000001, 0000054, 0000001, 0000000, 0000000, 0000000, 0000000, 0000012, 0000000, 0000001, 0000001, 0000005, 0000000, 0000028
עמיקם, 0000773, 0000464, 0000364, 0000001, 0000363, 0000135, 0000000, 0000001, 0000000, 0000000, 0000000, 0000006, 0000000, 0000000, 0000000, 0000000, 0000059, 0000000, 0000042, 0000043, 0000000, 0000000, 0000000, 0000000, 0000065, 0000000, 0000000, 0000007, 0000003, 0000000, 0000002
עמיר, 0000319, 0000473, 0000348, 0000000, 0000348, 0000176, 0000000, 0000002, 0000000, 0000000, 0000000, 0000005, 0000000, 0000000, 0000000, 0000000, 0000017, 0000004, 0000013, 0000111, 0000000, 0000000, 0000000, 0000000, 0000011, 0000000, 0000001, 0000008, 0000000, 0000000, 0000000
עמנואל, 0003660, 0001911, 0001392, 0000012, 0001380, 0000002, 0000395, 0000000, 0000000, 0000000, 0000000, 0000064, 0000000, 0000000, 0000000, 0000000, 0000003, 0000001, 0000079, 0000000, 0000002, 0000000, 0000000, 0000000, 0000001, 0000000, 0000005, 0000009, 0000360, 0000000, 0000459
עמקה, 0000708, 0000493, 0000360, 0000008, 0000352, 0000020, 0000006, 0000000, 0000000, 0000000, 0000000, 0000036, 0000000, 0000000, 0000000, 0000000, 0000062, 0000006, 0000178, 0000000, 0000000, 0000000, 0000000, 0000000, 0000008, 0000000, 0000002, 0000003, 0000018, 0000000, 0000013
ענב, 0003712, 0000429, 0000360, 0000003, 0000357, 0000001, 0000002, 0000000, 0000000, 0000000, 0000000, 0000182, 0000000, 0000000, 0000000, 0000000, 0000001, 0000001, 0000065, 0000000, 0000000, 0000000, 0000000, 0000000, 0000004, 0000000, 0000000, 0000003, 0000066, 0000000, 0000032
עספיא, 0000534, 0008227, 0004371, 0000055, 0004316, 0000968, 0000004, 0000922, 0000000, 0000001, 0000000, 0000014, 0000000, 0000000, 0000000, 0000001, 0001388, 0000450, 0000167, 0000162, 0000000, 0000000, 0000000, 0000021, 0000112, 0000004, 0000004, 0000042, 0000021, 0000001, 0000034
עפולה, 0007700, 0035667, 0023208, 0000300, 0022908, 0002531, 0000426, 0000017, 0000000, 0000001, 0000006, 0001318, 0000001, 0000005, 0000000, 0000004, 0001983, 0002509, 0010129, 0000210, 0000010, 0000003, 0000004, 0000002, 0001605, 0000004, 0000018, 0000272, 0000456, 0000029, 0001365
עץ אפרים, 0003778, 0000955, 0000807, 0000004, 0000803, 0000038, 0000004, 0000000, 0000000, 0000000, 0000000, 0000285, 0000000, 0000000, 0000000, 0000000, 0000048, 0000025, 0000280, 0000012, 0000000, 0000000, 0000000, 0000000, 0000042, 0000000, 0000001, 0000009, 0000033, 0000002, 0000024
עצמון שגב, 0000917, 0000825, 0000617, 0000001, 0000616, 0000349, 0000000, 0000000, 0000000, 0000000, 0000000, 0000017, 0000000, 0000000, 0000000, 0000000, 0000024, 0000002, 0000029, 0000117, 0000000, 0000000, 0000000, 0000000, 0000072, 0000000, 0000001, 0000002, 0000000, 0000000, 0000003
עראבה, 0000531, 0014211, 0010339, 0000041, 0010298, 0000035, 0000003, 0009973, 0000002, 0000000, 0000001, 0000001, 0000001, 0000000, 0000000, 0000003, 0000055, 0000002, 0000015, 0000047, 0000002, 0000001, 0000003, 0000026, 0000061, 0000000, 0000005, 0000006, 0000025, 0000000, 0000031
עראמשה, 0001246, 0000928, 0000437, 0000003, 0000434, 0000131, 0000000, 0000259, 0000000, 0000000, 0000000, 0000002, 0000000, 0000000, 0000000, 0000003, 0000001, 0000000, 0000003, 0000013, 0000000, 0000000, 0000000, 0000011, 0000002, 0000000, 0000000, 0000000, 0000000, 0000001, 0000008
ערב אל נעים, 0001335, 0000389, 0000238, 0000007, 0000231, 0000002, 0000000, 0000035, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000001, 0000002, 0000177, 0000001, 0000000, 0000001, 0000002, 0000006, 0000001, 0000000, 0000000, 0000000, 0000000, 0000000, 0000002
ערד, 0002560, 0020805, 0012552, 0000255, 0012297, 0001871, 0001837, 0000096, 0000002, 0000000, 0000012, 0000515, 0000001, 0000000, 0000000, 0000003, 0000746, 0001829, 0002764, 0000260, 0000005, 0000003, 0000002, 0000009, 0001605, 0000009, 0000008, 0000283, 0000292, 0000016, 0000129
ערוגות, 0000593, 0000617, 0000514, 0000002, 0000512, 0000205, 0000003, 0000000, 0000000, 0000000, 0000000, 0000027, 0000000, 0000000, 0000000, 0000000, 0000040, 0000006, 0000112, 0000027, 0000000, 0000000, 0000000, 0000000, 0000079, 0000000, 0000000, 0000009, 0000001, 0000000, 0000003
ערערה, 0000637, 0011475, 0007997, 0000044, 0007953, 0000102, 0000002, 0007653, 0000000, 0000000, 0000001, 0000004, 0000001, 0000001, 0000000, 0000016, 0000026, 0000002, 0000021, 0000072, 0000000, 0000000, 0000003, 0000026, 0000004, 0000001, 0000005, 0000003, 0000005, 0000001, 0000004
ערערה-בנגב, 0001192, 0006558, 0003773, 0000072, 0003701, 0000047, 0000001, 0003335, 0000002, 0000000, 0000002, 0000015, 0000000, 0000000, 0000000, 0000002, 0000036, 0000006, 0000039, 0000126, 0000000, 0000000, 0000003, 0000045, 0000006, 0000004, 0000002, 0000004, 0000008, 0000003, 0000015
עשרת, 0000591, 0000828, 0000641, 0000000, 0000641, 0000307, 0000003, 0000002, 0000000, 0000000, 0000000, 0000019, 0000000, 0000000, 0000000, 0000001, 0000029, 0000009, 0000080, 0000052, 0000000, 0000000, 0000000, 0000000, 0000127, 0000000, 0000000, 0000011, 0000000, 0000000, 0000001
עתלית, 0000053, 0004693, 0003329, 0000017, 0003312, 0000818, 0000071, 0000015, 0000000, 0000000, 0000000, 0000161, 0000000, 0000000, 0000000, 0000000, 0000405, 0000082, 0000970, 0000103, 0000001, 0000000, 0000000, 0000000, 0000452, 0000000, 0000003, 0000047, 0000042, 0000001, 0000141
עתניאל, 0003748, 0000391, 0000335, 0000000, 0000335, 0000000, 0000001, 0000000, 0000000, 0000000, 0000000, 0000228, 0000000, 0000000, 0000000, 0000000, 0000005, 0000000, 0000033, 0000002, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000065, 0000000, 0000000
פארן, 0001151, 0000363, 0000271, 0000001, 0000270, 0000199, 0000000, 0000001, 0000000, 0000000, 0000000, 0000008, 0000000, 0000000, 0000000, 0000000, 0000011, 0000001, 0000011, 0000012, 0000000, 0000000, 0000000, 0000000, 0000021, 0000000, 0000000, 0000006, 0000000, 0000000, 0000000
פדואל, 0003768, 0000789, 0000686, 0000002, 0000684, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000497, 0000000, 0000000, 0000000, 0000000, 0000002, 0000000, 0000084, 0000001, 0000000, 0000000, 0000001, 0000000, 0000002, 0000000, 0000000, 0000001, 0000090, 0000000, 0000006
פדויים, 0000750, 0000298, 0000215, 0000001, 0000214, 0000019, 0000007, 0000000, 0000000, 0000000, 0000000, 0000044, 0000000, 0000000, 0000000, 0000000, 0000022, 0000002, 0000080, 0000000, 0000000, 0000000, 0000000, 0000000, 0000005, 0000000, 0000000, 0000000, 0000010, 0000000, 0000025
פדיה, 0000838, 0000545, 0000434, 0000008, 0000426, 0000041, 0000000, 0000000, 0000000, 0000000, 0000000, 0000037, 0000000, 0000000, 0000000, 0000000, 0000056, 0000005, 0000213, 0000002, 0000000, 0000000, 0000000, 0000000, 0000031, 0000000, 0000001, 0000000, 0000002, 0000000, 0000038
פוריה - כפר עבודה, 0001104, 0000267, 0000185, 0000000, 0000185, 0000019, 0000000, 0000000, 0000000, 0000001, 0000000, 0000015, 0000000, 0000000, 0000000, 0000000, 0000044, 0000001, 0000083, 0000002, 0000000, 0000000, 0000000, 0000000, 0000008, 0000000, 0000000, 0000005, 0000001, 0000000, 0000006
פוריה - נווה עובד, 0001105, 0000920, 0000620, 0000006, 0000614, 0000047, 0000004, 0000001, 0000000, 0000000, 0000000, 0000068, 0000000, 0000000, 0000000, 0000000, 0000061, 0000012, 0000317, 0000006, 0000000, 0000000, 0000000, 0000000, 0000042, 0000000, 0000000, 0000009, 0000020, 0000001, 0000026
פוריה עילית, 0001313, 0000639, 0000458, 0000005, 0000453, 0000120, 0000000, 0000002, 0000000, 0000000, 0000000, 0000023, 0000000, 0000000, 0000000, 0000001, 0000054, 0000012, 0000174, 0000009, 0000002, 0000000, 0000000, 0000000, 0000039, 0000000, 0000000, 0000009, 0000002, 0000000, 0000006
פוריידיס, 0000537, 0007621, 0005116, 0000028, 0005088, 0000147, 0000001, 0003645, 0000308, 0000001, 0000001, 0000005, 0000000, 0000001, 0000000, 0000001, 0000020, 0000001, 0000479, 0000429, 0000000, 0000000, 0000001, 0000032, 0000005, 0000000, 0000001, 0000004, 0000001, 0000001, 0000004
פורת, 0000767, 0000806, 0000569, 0000006, 0000563, 0000015, 0000007, 0000001, 0000000, 0000000, 0000000, 0000035, 0000000, 0000000, 0000000, 0000000, 0000127, 0000001, 0000235, 0000002, 0000000, 0000000, 0000000, 0000000, 0000012, 0000000, 0000000, 0000013, 0000041, 0000000, 0000074
פטיש, 0000749, 0000590, 0000487, 0000003, 0000484, 0000044, 0000001, 0000000, 0000000, 0000000, 0000000, 0000031, 0000000, 0000000, 0000000, 0000000, 0000042, 0000004, 0000198, 0000000, 0000000, 0000000, 0000001, 0000000, 0000017, 0000000, 0000000, 0000003, 0000028, 0000000, 0000115
פלמחים, 0000597, 0000600, 0000423, 0000003, 0000420, 0000222, 0000001, 0000000, 0000000, 0000000, 0000004, 0000026, 0000000, 0000000, 0000000, 0000000, 0000021, 0000002, 0000015, 0000076, 0000000, 0000000, 0000000, 0000000, 0000047, 0000000, 0000000, 0000004, 0000000, 0000000, 0000002
פני חבר, 0003723, 0000192, 0000166, 0000000, 0000166, 0000001, 0000000, 0000000, 0000000, 0000000, 0000000, 0000052, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000020, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000001, 0000000, 0000090, 0000000, 0000001
פסגות, 0003659, 0000957, 0000828, 0000003, 0000825, 0000002, 0000001, 0000000, 0000000, 0000000, 0000000, 0000500, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000122, 0000000, 0000001, 0000000, 0000000, 0000000, 0000002, 0000000, 0000000, 0000003, 0000189, 0000000, 0000004
פסוטה, 0000535, 0002425, 0001358, 0000015, 0001343, 0000117, 0000000, 0001013, 0000000, 0000000, 0000001, 0000001, 0000000, 0000000, 0000000, 0000000, 0000007, 0000008, 0000012, 0000159, 0000000, 0000000, 0000002, 0000007, 0000003, 0000000, 0000000, 0000005, 0000001, 0000000, 0000007
פעמי תש"ז, 0002059, 0000330, 0000267, 0000003, 0000264, 0000023, 0000003, 0000000, 0000000, 0000000, 0000000, 0000008, 0000000, 0000000, 0000000, 0000000, 0000017, 0000002, 0000109, 0000004, 0000000, 0000000, 0000000, 0000000, 0000012, 0000000, 0000000, 0000003, 0000011, 0000000, 0000072
פצאל, 0003615, 0000225, 0000176, 0000000, 0000176, 0000036, 0000000, 0000000, 0000000, 0000000, 0000000, 0000038, 0000000, 0000000, 0000000, 0000000, 0000014, 0000001, 0000058, 0000000, 0000000, 0000000, 0000000, 0000000, 0000025, 0000000, 0000000, 0000004, 0000000, 0000000, 0000000
פקיעין (בוקייעה), 0000536, 0004011, 0002616, 0000015, 0002601, 0000316, 0000000, 0000791, 0000000, 0000000, 0000000, 0000001, 0000001, 0000000, 0000000, 0000000, 0000307, 0000794, 0000016, 0000050, 0000000, 0000000, 0000000, 0000003, 0000087, 0000000, 0000001, 0000011, 0000001, 0000001, 0000221
פקיעין חדשה, 0000281, 0000281, 0000207, 0000000, 0000207, 0000019, 0000002, 0000000, 0000000, 0000000, 0000000, 0000007, 0000000, 0000000, 0000000, 0000000, 0000011, 0000000, 0000088, 0000000, 0000000, 0000000, 0000000, 0000000, 0000003, 0000000, 0000000, 0000001, 0000010, 0000000, 0000066
פרדס חנה-כרכור, 0007800, 0026651, 0019087, 0000185, 0018902, 0005199, 0000117, 0000065, 0000005, 0000000, 0000006, 0001157, 0000001, 0000000, 0000000, 0000000, 0001810, 0000743, 0005248, 0001258, 0000011, 0000003, 0000002, 0000004, 0001900, 0000003, 0000014, 0000292, 0000212, 0000020, 0000832
פרדסיה, 0000171, 0004716, 0003693, 0000016, 0003677, 0001302, 0000016, 0000000, 0000000, 0000000, 0000001, 0000194, 0000000, 0000000, 0000000, 0000000, 0000459, 0000030, 0000721, 0000147, 0000001, 0000001, 0000000, 0000000, 0000651, 0000000, 0000000, 0000052, 0000060, 0000000, 0000042
פרוד, 0000599, 0000326, 0000239, 0000001, 0000238, 0000140, 0000002, 0000001, 0000000, 0000000, 0000000, 0000011, 0000000, 0000000, 0000000, 0000000, 0000019, 0000000, 0000016, 0000022, 0000000, 0000000, 0000000, 0000000, 0000024, 0000000, 0000000, 0000000, 0000001, 0000002, 0000000
פרזון, 0002053, 0000302, 0000228, 0000001, 0000227, 0000028, 0000000, 0000000, 0000000, 0000000, 0000000, 0000023, 0000000, 0000000, 0000000, 0000000, 0000025, 0000001, 0000124, 0000002, 0000000, 0000001, 0000000, 0000000, 0000009, 0000000, 0000000, 0000000, 0000008, 0000000, 0000006
פרי גן, 0001231, 0000152, 0000114, 0000000, 0000114, 0000030, 0000000, 0000000, 0000000, 0000000, 0000000, 0000015, 0000000, 0000000, 0000000, 0000000, 0000016, 0000000, 0000038, 0000000, 0000000, 0000000, 0000000, 0000000, 0000010, 0000000, 0000000, 0000003, 0000000, 0000000, 0000002
פתח תקווה, 0007900, 0177367, 0125633, 0001233, 0124400, 0022155, 0004810, 0000085, 0000008, 0000007, 0000029, 0013319, 0000012, 0000001, 0000000, 0000004, 0011846, 0008362, 0035013, 0002491, 0000072, 0000013, 0000014, 0000071, 0014537, 0000015, 0000065, 0001224, 0003227, 0000074, 0006946
פתחיה, 0000839, 0000633, 0000495, 0000001, 0000494, 0000075, 0000001, 0000000, 0000000, 0000000, 0000000, 0000030, 0000000, 0000000, 0000000, 0000000, 0000086, 0000007, 0000177, 0000012, 0000000, 0000000, 0000000, 0000000, 0000063, 0000000, 0000000, 0000002, 0000010, 0000000, 0000031
צאלים, 0000413, 0000374, 0000284, 0000000, 0000284, 0000158, 0000000, 0000001, 0000000, 0000000, 0000000, 0000005, 0000000, 0000000, 0000000, 0000000, 0000011, 0000011, 0000013, 0000044, 0000000, 0000000, 0000000, 0000000, 0000032, 0000000, 0000000, 0000008, 0000000, 0000000, 0000001
צביה, 0001180, 0000233, 0000179, 0000000, 0000179, 0000086, 0000000, 0000000, 0000000, 0000000, 0000000, 0000003, 0000000, 0000000, 0000000, 0000000, 0000010, 0000000, 0000006, 0000031, 0000000, 0000000, 0000001, 0000000, 0000040, 0000000, 0000000, 0000002, 0000000, 0000000, 0000000
צובה, 0000465, 0000633, 0000435, 0000002, 0000433, 0000307, 0000001, 0000001, 0000000, 0000000, 0000000, 0000009, 0000000, 0000000, 0000000, 0000000, 0000020, 0000001, 0000019, 0000028, 0000003, 0000000, 0000000, 0000000, 0000038, 0000001, 0000004, 0000001, 0000000, 0000000, 0000000
צוחר, 0001136, 0000397, 0000271, 0000002, 0000269, 0000045, 0000000, 0000000, 0000000, 0000000, 0000000, 0000019, 0000000, 0000000, 0000000, 0000000, 0000028, 0000001, 0000112, 0000011, 0000000, 0000000, 0000000, 0000000, 0000029, 0000000, 0000000, 0000002, 0000007, 0000001, 0000014
צופים, 0003791, 0001104, 0000928, 0000005, 0000923, 0000057, 0000005, 0000000, 0000000, 0000000, 0000000, 0000387, 0000000, 0000000, 0000000, 0000000, 0000056, 0000012, 0000272, 0000008, 0000001, 0000000, 0000000, 0000000, 0000057, 0000000, 0000001, 0000017, 0000040, 0000001, 0000009
צופית, 0000198, 0000763, 0000600, 0000000, 0000600, 0000318, 0000001, 0000002, 0000000, 0000000, 0000000, 0000017, 0000000, 0000000, 0000000, 0000000, 0000027, 0000005, 0000054, 0000074, 0000000, 0000000, 0000001, 0000000, 0000091, 0000000, 0000001, 0000008, 0000000, 0000000, 0000001
צופר, 0001150, 0000312, 0000248, 0000001, 0000247, 0000168, 0000000, 0000000, 0000000, 0000000, 0000000, 0000007, 0000000, 0000000, 0000000, 0000000, 0000008, 0000003, 0000011, 0000017, 0000000, 0000000, 0000000, 0000000, 0000028, 0000001, 0000000, 0000004, 0000000, 0000000, 0000000
צוקי ים, 0001102, 0000163, 0000124, 0000000, 0000124, 0000061, 0000001, 0000000, 0000000, 0000000, 0000000, 0000005, 0000000, 0000001, 0000000, 0000000, 0000003, 0000000, 0000021, 0000018, 0000001, 0000000, 0000000, 0000000, 0000011, 0000000, 0000000, 0000000, 0000002, 0000000, 0000000
צוקים, 0001262, 0000135, 0000107, 0000003, 0000104, 0000050, 0000000, 0000000, 0000000, 0000000, 0000001, 0000005, 0000000, 0000000, 0000000, 0000000, 0000005, 0000001, 0000010, 0000019, 0000000, 0000000, 0000000, 0000000, 0000009, 0000000, 0000000, 0000004, 0000000, 0000000, 0000000
צור הדסה, 0001113, 0003779, 0002970, 0000007, 0002963, 0000810, 0000012, 0000012, 0000000, 0000000, 0000000, 0000211, 0000000, 0000000, 0000000, 0000000, 0000233, 0000102, 0000786, 0000274, 0000001, 0000000, 0000000, 0000000, 0000418, 0000001, 0000000, 0000034, 0000023, 0000002, 0000044
צור יצחק, 0001345, 0002072, 0001845, 0000005, 0001840, 0000679, 0000005, 0000001, 0000000, 0000000, 0000000, 0000113, 0000000, 0000000, 0000000, 0000000, 0000158, 0000031, 0000279, 0000092, 0000001, 0000000, 0000001, 0000000, 0000425, 0000000, 0000000, 0000027, 0000011, 0000001, 0000016
צור משה, 0000276, 0001682, 0001338, 0000002, 0001336, 0000663, 0000007, 0000002, 0000000, 0000000, 0000001, 0000047, 0000000, 0000000, 0000000, 0000000, 0000104, 0000002, 0000137, 0000085, 0000001, 0000000, 0000000, 0000000, 0000264, 0000000, 0000000, 0000010, 0000005, 0000001, 0000007
צור נתן, 0001148, 0000215, 0000171, 0000002, 0000169, 0000053, 0000000, 0000000, 0000000, 0000000, 0000000, 0000013, 0000000, 0000000, 0000000, 0000000, 0000015, 0000002, 0000044, 0000005, 0000000, 0000000, 0000000, 0000000, 0000032, 0000000, 0000000, 0000004, 0000000, 0000000, 0000001
